log2FoldChange	ENTREZID	SYMBOL
6.35867288853403	91703	ACY3
0.936247858579898	23325	KIAA1033
2.66381604985477	6583	SLC22A4
-2.12095289095373	2308	FOXO1
-1.86380409334303	26960	NBEA
1.0466987305935	56894	AGPAT3
0.991063016887544	51474	LIMA1
-1.35914502466149	10152	ABI2
5.75851723717612	4005	LMO2
2.44202282737089	93349	SP140L
0.900066552813438	3572	IL6ST
-0.869396519646301	1605	DAG1
1.62648486739852	4790	NFKB1
-1.16543029039352	9372	ZFYVE9
-1.22983562171778	9324	HMGN3
3.66867084585181	7130	TNFAIP6
1.80463639196567	9367	RAB9A
2.08695586111309	8707	B3GALT2
-1.17185737456969	5257	PHKB
2.22534600642025	2014	EMP3
-2.59293405970999	23428	SLC7A8
1.14726262190253	51762	RAB8B
-1.10224693091947	135228	CD109
6.67873609479645	6373	CXCL11
-0.976267440060369	54407	SLC38A2
-1.26105069884436	316	AOX1
-1.37537792989503	1289	COL5A1
-2.55592862279954	8470	SORBS2
-1.52514238667282	114876	OSBPL1A
-1.03921210748953	1182	CLCN3
-1.25308503399079	92949	ADAMTSL1
0.784524143146987	10890	RAB10
4.4127536954915	27071	DAPP1
3.2097889155384	29126	CD274
3.27626760016197	154	ADRB2
-0.61133053321315	7750	ZMYM2
-0.772846292103595	26994	RNF11
-0.724399566430188	6259	RYK
-1.71715487375756	379	ARL4D
-0.90258817494286	343450	KCNT2
-1.19362371204502	144348	ZNF664
-1.2105014109219	4249	MGAT5
2.53704680390368	153090	DAB2IP
-1.47023957605097	7145	TNS1
-1.56153713107521	51454	GULP1
-1.03736171873465	4952	OCRL
2.52974377587495	8877	SPHK1
-1.50058180419035	22841	RAB11FIP2
1.15769097151122	11004	KIF2C
-1.80507500550417	25978	CHMP2B
1.27971089536108	2892	GRIA3
-1.1873000648474	55681	SCYL2
-0.961194990331172	55860	ACTR10
-1.9995838355473	1382	CRABP2
-1.23753193572631	8997	KALRN
-2.12105479769368	64919	BCL11B
1.25036337169048	10212	DDX39A
0.674116848074584	23191	CYFIP1
1.38301638098864	8438	RAD54L
1.32527533107766	11215	AKAP11
3.99230877707331	3139	HLA-L
0.885280267766232	27348	TOR1B
-1.64649383734175	403	ARL3
-1.48860683703253	117583	PARD3B
-1.03671642193387	23266	ADGRL2
1.13954040063762	10616	RBCK1
2.68351603196829	6892	TAPBP
-1.10794838468532	65065	NBEAL1
1.39820631679619	79180	EFHD2
1.4693818440858	29097	CNIH4
-0.940262879367163	57589	RIC1
-1.0396941301883	6249	CLIP1
-1.25481539005906	4154	MBNL1
-1.55866925248637	56204	FAM214A
-2.27163466411357	81539	SLC38A1
0.898965412314806	11011	TLK2
-1.35093151030955	79987	SVEP1
-0.752860945941441	9706	ULK2
2.26457324821666	10154	PLXNC1
-1.29410982344269	22876	INPP5F
-1.27481899080994	23335	WDR7
4.19660028490362	5918	RARRES1
-1.66015590087342	5106	PCK2
-1.22989601512519	79710	MORC4
1.53280064499693	23143	LRCH1
-0.791902830324666	9583	ENTPD4
